Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ
3667.00;25903.00;239.64;348.1;100.1;239.00;348.1;45.06;64.00;43.7;105.51;44.07;537.87;113.09;43586.00;557.65;4529.6;176.6;11079.00;63.3;39.02;48.3;50.9;95.2;93.96;null;787.00;null;0.67;null;165.00
3667.00;14.29;223.11;340.00;102.23;221.00;340.00;47.85;66.00;47.8;105.44;48.17;653.03;134.34;21337.00;676.53;5557.8;206.00;22068.00;63.3;39.02;48.3;50.9;96.00;94.74;null;787.00;null;0.67;null;162.00
3670.00;25903.00;229.89;336.3;102.4;228.00;333.1;102.29;65.1;44.8;105.04;44.74;503.75;134.48;24259.00;528.67;4152.00;195.9;25720.00;63.3;37.19;48.00;50.2;95.8;94.55;null;778.8;null;0.67;null;140.00
3668.5;19603.00;248.00;340.00;94.02;248.00;339.8;94.2;59.00;32.4;104.85;33.51;338.63;66.59;14246.00;350.55;2868.6;105.2;14611.00;72.54;36.75;48.4;49.7;88.8;87.64;null;782.53;null;0.66;null;154.00
3668.5;44876.00;239.00;334.00;95.51;239.00;331.7;95.88;61.00;38.6;104.83;39.29;432.74;77.91;44594.00;445.72;3773.00;122.8;2.00;72.54;36.75;48.4;49.7;88.1;86.95;null;782.53;null;0.66;null;141.00
3668.5;25903.00;223.89;326.00;94.89;223.00;324.00;95.52;64.00;42.7;104.74;42.91;514.1;91.24;29252.00;528.93;4590.3;142.1;25600.00;72.54;36.75;48.4;49.7;88.8;87.64;null;782.53;null;0.66;null;139.00
3668.5;14.29;206.00;318.00;97.27;205.00;312.5;95.52;66.00;46.9;104.64;46.72;608.78;102.94;44986.00;625.49;5452.4;161.1;11018.00;72.54;36.75;48.4;49.7;88.9;87.74;null;782.53;null;0.66;null;132.00
3424.5;12936.00;219.88;316.1;101.82;219.88;316.2;101.92;44616.00;null;106.2;23.66;128.37;39.74;0.6;136.82;884.00;68.9;0.5;44.2;37.21;50.2;50.7;101.8;100.47;null;780.00;null;0.65;null;241.00
3424.5;19603.00;201.64;281.5;103.87;201.64;275.9;103.97;35.5;null;106.4;36.56;244.58;67.58;14611.00;259.2;1867.00;120.4;14611.00;44.2;37.21;50.2;50.7;103.6;102.25;null;780.00;null;0.65;null;216.00
3424.5;44876.00;182.39;257.9;103.06;182.39;258.00;103.45;42.3;null;106.47;42.63;295.81;71.29;43132.00;311.24;2445.00;123.9;10990.00;44.2;37.21;50.2;50.7;102.6;101.26;null;792.00;null;0.65;null;191.00
3424.5;25903.00;163.13;236.5;104.28;163.13;237.8;104.34;47.8;null;106.4;48.02;330.5;74.59;18295.00;346.64;2869.00;126.4;21947.00;44.2;37.21;50.2;50.7;103.9;102.54;null;785.00;null;0.65;null;177.00
3424.5;44634.00;149.96;221.2;104.43;149.96;221.3;104.62;50.6;null;106.7;50.58;346.7;73.12;20121.00;362.52;3112.00;121.4;21947.00;44.2;37.21;50.2;50.7;104.00;102.64;null;777.00;null;0.65;null;164.00
3437.00;18445.00;212.00;305.56;100.8;215.00;305.6;99.7;40.00;26.00;106.5;44829.00;162.15;45.4;0.6;172.04;1168.00;79.00;0.5;44.2;36.46;47.9;48.6;99.8;98.49;null;782.00;null;0.68;null;219.00
3437.00;34516.00;210.63;298.69;100.6;209.00;298.7;100.6;48.00;44800.00;106.6;44709.00;189.82;52.8;1.00;201.32;1401.00;93.1;1.00;44.2;36.46;47.9;48.6;99.8;98.49;null;782.00;null;0.68;null;218.00
3437.00;19603.00;193.52;278.23;100.6;193.00;278.2;100.6;54.00;35.1;106.6;36.3;250.43;63.9;18264.00;264.35;1996.00;110.8;21916.00;44.2;36.46;47.9;48.6;100.1;98.79;null;782.00;null;0.68;null;200.00
3437.00;44876.00;175.23;256.21;101.2;173.00;256.2;101.2;54.00;40.9;106.5;41.00;305.59;63.00;25569.00;319.31;2545.00;115.5;32874.00;44.2;36.46;47.9;48.6;100.1;98.79;null;782.00;null;0.68;null;161.00
3437.00;25903.00;153.35;234.19;101.3;154.00;234.2;101.6;56.00;45.6;106.4;46.2;344.29;69.00;0.9;359.32;3043.00;113.2;1.00;44.2;36.46;47.9;48.6;100.3;98.99;null;782.00;null;0.68;null;157.00
3437.00;14.29;138.16;216.9;101.4;138.00;216.8;100.2;57.00;49.3;106.43;49.7;360.23;71.1;0.8;375.72;3320.00;116.8;0.8;44.2;36.46;47.9;48.6;100.7;99.38;null;782.00;null;0.68;null;154.00
3440.00;34516.00;163.62;174.00;92.05;163.00;174.00;90.95;44.00;44737.00;102.55;25.94;145.68;33.94;0.24;154.32;1187.00;60.9;0.2;44.2;29.17;56.1;null;90.00;88.82;null;770.1;null;0.57;null;180.00
3440.00;34516.00;163.6;228.46;92.59;164.00;229.1;92.64;42.00;44797.00;102.51;25.81;145.72;33.63;0.24;154.29;1168.00;60.1;0.2;44.2;29.17;56.1;null;90.4;89.22;null;770.1;null;0.57;null;178.00
3440.00;34516.00;163.00;228.1;92.63;163.00;231.4;94.15;43.00;44738.00;102.07;26.24;144.77;33.85;0.24;153.39;1172.00;59.8;0.2;44.2;29.17;56.1;null;90.7;89.51;null;770.1;null;0.57;null;180.00
3277.8;12936.00;288.78;382.5;101.9;288.78;378.6;104.1;44707.00;null;106.2;44829.00;168.59;48.3;0.8;178.86;1891.00;116.8;0.8;44.5;40.35;53.9;52.7;101.5;100.17;null;781.00;null;0.67;null;224.00
3277.8;19603.00;282.7;373.7;103.8;282.7;379.6;103.5;39.00;null;106.4;40.1;354.22;89.8;43891.00;373.32;1192.00;82.6;0.8;44.5;40.35;53.9;52.7;101.5;100.17;null;186.00;null;0.67;null;199.00
3277.8;44876.00;271.55;365.7;103.6;271.55;372.7;102.9;45.3;null;106.47;46.1;460.41;117.3;0.6;485.34;2740.00;152.8;11018.00;44.5;40.35;53.9;52.7;103.2;101.85;null;790.00;null;0.67;null;201.00
3277.8;25903.00;254.33;354.5;104.1;254.33;364.1;103.8;50.3;null;106.4;50.5;569.07;138.4;21916.00;598.49;3730.00;196.5;0.6;44.5;40.35;53.9;52.7;102.7;101.36;null;787.00;null;0.67;null;191.00
3277.8;44634.00;239.13;345.9;105.8;239.13;354.6;104.00;53.5;null;106.7;54.00;648.1;158.00;29221.00;681.69;4726.00;232.4;25569.00;44.5;40.35;53.9;52.7;103.1;101.75;null;787.00;null;0.67;null;192.00
3276.00;18445.00;268.00;370.04;95.00;268.00;370.1;95.4;56.00;44740.00;104.98;44681.00;246.61;69.9;43831.00;261.47;1967.00;114.7;44835.00;44.5;39.44;48.3;45.6;94.3;93.07;null;785.00;null;0.67;null;222.00
3276.00;19603.00;262.00;364.68;94.9;262.00;364.6;94.9;62.00;36.3;105.18;37.5;350.09;94.4;14611.00;370.16;2970.00;154.5;14611.00;44.5;39.44;48.3;45.6;93.5;92.28;null;785.00;null;0.67;null;212.00
3276.00;44876.00;252.00;357.12;97.00;252.00;357.00;96.9;66.00;42.8;105.24;43.7;452.11;117.6;14611.00;477.12;3869.00;196.7;14611.00;44.5;39.44;48.3;45.6;95.3;94.05;null;785.00;null;0.67;null;204.00
3276.00;25903.00;237.4;347.44;95.7;238.00;347.5;95.8;70.00;47.5;105.23;47.9;562.2;142.00;44836.00;592.39;5012.00;235.7;2.00;44.5;39.44;48.3;45.6;94.2;92.97;null;785.00;null;0.67;null;198.00
3276.00;44634.00;220.00;337.88;99.8;220.00;337.7;99.3;70.00;51.8;105.16;52.1;653.25;154.7;10990.00;686.15;5733.00;264.3;14642.00;44.5;39.44;48.3;45.6;98.5;97.21;null;785.00;null;0.67;null;186.00
3284.00;34516.00;241.12;335.2;88.7;241.00;335.5;89.00;51.00;27.00;104.68;44619.00;215.34;55.4;44835.00;226.54;1773.00;93.1;44835.00;44.5;35.28;40.5;41.6;89.7;88.53;null;782.00;null;0.66;null;201.00
3284.00;19603.00;240.00;328.1;91.2;240.00;328.4;91.4;59.1;34.9;104.84;35.7;312.61;72.7;32874.00;325.43;2750.00;119.2;2.00;44.5;35.28;40.5;41.6;88.9;87.74;null;782.00;null;0.66;null;182.00
3284.00;44876.00;229.00;318.00;98.00;228.00;318.3;98.9;63.3;41.4;104.85;42.5;409.23;86.3;18323.00;424.74;3583.00;143.9;18323.00;44.5;35.28;40.5;41.6;91.00;89.81;null;782.00;null;0.66;null;165.00
3284.00;25903.00;215.00;307.8;98.6;215.00;308.1;97.2;65.00;45.8;104.78;46.3;479.09;93.5;25659.00;495.63;4165.00;156.8;29312.00;44.5;35.28;40.5;41.6;94.4;93.17;null;782.00;null;0.66;null;153.00
3284.00;14.29;198.00;293.6;98.5;197.00;293.9;98.4;66.9;49.8;104.63;50.5;568.5;106.6;14763.00;587.36;5113.00;174.3;18415.00;44.5;35.28;40.5;41.6;94.00;92.77;null;782.00;null;0.66;null;147.00
3288.6;34516.00;231.23;309.1;92.6;230.00;307.1;92.7;51.00;null;104.4;44862.00;215.8;50.5;0.45;224.86;1759.00;84.7;0.4;48.37;33.21;null;null;89.9;88.72;null;779.6;null;0.67;null;182.00
3288.6;44876.00;217.2;293.9;93.1;215.00;293.9;93.3;60.00;null;104.6;41.3;387.68;72.00;18264.00;403.75;3454.00;123.00;21916.00;48.37;33.21;null;null;90.8;89.61;null;779.6;null;0.67;null;145.00
3289.8;19603.00;199.00;271.00;95.95;199.00;272.3;94.64;56.00;null;103.9;36.16;264.3;47.6;1.00;274.94;2223.00;80.00;44835.00;48.4;null;39.9;null;94.00;92.77;null;772.6;null;0.67;null;139.00
